customer_id,fico_score,loan_amount,tenure_months,state,plan_type,monthly_income,date_issued,loan_status
1001,705.0,39199,12,WA,Family,3577.0,2023-01-01,Current
1002,673.0,25912,12,NC,Business,1635.0,2023-01-02,Current
1003,712.0,39919,6,MI,Business,5397.0,2023-01-03,Current
1004,756.0,39981,12,IL,Business,6449.0,2023-01-04,Current
1005,668.0,18235,24,TX,Family,3126.0,2023-01-05,Default
1006,668.0,44757,24,TX,Business,2182.0,2023-01-06,Current
1007,759.0,36547,36,CA,Individual,5705.0,2023-01-07,Current
1008,718.0,46810,6,CA,Individual,2031.0,2023-01-08,Default
1009,657.0,22276,12,IL,Individual,6329.0,2023-01-09,Current
1010,707.0,34923,24,GA,Business,3143.0,2023-01-10,Current
1011,657.0,8534,12,GA,Business,2845.0,2023-01-11,Current
1012,657.0,29469,12,FL,Individual,4873.0,2023-01-12,Default
1013,692.0,39074,36,FL,Individual,2943.0,2023-01-13,Current
1014,584.0,38670,24,OH,Business,3439.0,2023-01-14,Default
1015,594.0,35563,18,NY,Family,5031.0,2023-01-15,Current
1016,652.0,49159,24,CA,Business,856.0,2023-01-16,Default
1017,629.0,39486,24,NY,Individual,6964.0,2023-01-17,Default
1018,696.0,3021,24,NC,Individual,4565.0,2023-01-18,Current
1019,635.0,37268,24,TX,Individual,2561.0,2023-01-19,Current
1020,609.0,44802,6,FL,Individual,2974.0,2023-01-20,Current
1021,753.0,18799,24,GA,Individual,5987.0,2023-01-21,Current
1022,669.0,29336,6,IL,Individual,5402.0,2023-01-22,Default
1023,683.0,6641,6,CA,Individual,6580.0,2023-01-23,Current
1024,609.0,24596,36,TX,Individual,3476.0,2023-01-24,Current
1025,653.0,35959,18,WA,Business,4945.0,2023-01-25,Current
1026,686.0,16306,24,IL,Individual,5140.0,2023-01-26,Current
1027,622.0,49182,24,NY,Individual,5543.0,2023-01-27,Current
1028,699.0,11587,36,MI,Business,6191.0,2023-01-28,Current
1029,650.0,34359,24,NY,Family,3424.0,2023-01-29,Current
1030,665.0,24498,18,CA,Family,4329.0,2023-01-30,Current
1031,650.0,7662,12,IL,Family,3585.0,2023-01-31,Current
1032,773.0,40094,12,MI,Business,4421.0,2023-02-01,Current
1033,679.0,44833,18,NC,Business,5548.0,2023-02-02,Current
